neuron_id,soma_x,soma_y,soma_z,celltype,column,intersomatic_distance
174708,-382.421,288.254,-793.828,8,8,364.25561168772674
174720,-334.157,296.911,-829.858,9,8,361.3002440450324
174726,-272.091,306.978,-803.563,8,9,309.14409535522424
174734,-235.961,292.981,-805.081,8,9,291.40393093779636
174735,-235.767,280.517,-816.821,8,9,299.35033745429456
174737,-222.905,305.056,-826.937,8,9,309.5431313225994
174741,-245.098,288.38,-809.053,8,9,297.53452770392886
174742,-238.056,326.752,-803.875,9,9,300.7378399071191
174744,-245.411,306.623,-831.861,9,9,322.2012938614617
174745,-194.436,324.53,-813.357,8,9,294.9576420166122
